Players,Real time,In-game time,Sub Version,Difficulty,F3,Mods,Date,Player
rayahrayah,19m 22s,18m 54s,1.16,1.16.1,Easy,F3,2021-06-05,rayah
TriggerlyTriggerly,19m 12s 069ms,18m 57s 088ms,1.16,1.16.1,Normal,F3,2021-04-17,Triggerly
kvlikekvlike,19m 44s 960ms,18m 59s 200ms,1.16,1.16.1,Normal,F3,2021-03-23,kvlike
Ozi_MauthnerGHGOzi_MauthnerGHG,19m 17s 120ms,19m 01s 650ms,1.16,1.16.1,Normal,F3,2021-04-04,Ozi_MauthnerGHG
daniel_xpdaniel_xp,19m 43s 080ms,19m 13s 700ms,1.16,1.16.1,Normal,F3,2021-04-01,daniel_xp
Daniel_JayyDaniel_Jayy,19m 33s 038ms,19m 18s 055ms,1.16,1.16.1,Easy,F3,2021-05-25,Daniel_Jayy
ZitmaGamingZitmaGaming,19m 48s 800ms,19m 20s 450ms,1.16,1.16.1,Easy,F3,2021-06-06,ZitmaGaming
SqeedysSqeedys,21m 32s,19m 21s,1.16,1.16.1,Easy,F3,2021-05-02,Sqeedys
CopesenCopesen,19m 44s 630ms,19m 21s 267ms,1.16,1.16.1,Easy,F3,2021-04-12,Copesen
NoJu_NoJu_,19m 23s 840ms,19m 21s 300ms,1.16,1.16.1,Normal,F3,2021-03-25,NoJu_
GrieflessGriefless,,19m 22s 800ms,1.0,1.16.1,Easy,F3,2021-06-06,Griefless
sanfaranssanfarans,19m 56s 300ms,19m 24s 600ms,1.16,1.16.1,Easy,F3,2021-04-04,sanfarans
TheJumpingFlameTheJumpingFlame,19m 25s 770ms,19m 25s 770ms,1.0,1.16.1,Easy,F3,2021-05-30,TheJumpingFlame
ApaloGamingApaloGaming,19m 31s 004ms,19m 26s 005ms,1.16,1.16.1,Easy,F3,2021-05-02,ApaloGaming
BestWelSaddigBestWelSaddig,19m 28s 190ms,19m 28s 050ms,1.16,1.16.1,Easy,F3,2021-03-31,BestWelSaddig
xX_NazgulPvP_XxxX_NazgulPvP_Xx,19m 45s 617ms,19m 29s 050ms,1.16,1.16.1,Normal,F3,2021-04-14,xX_NazgulPvP_Xx
VqnadiumVqnadium,19m 58s 300ms,19m 31s 950ms,1.16,1.16.1,Normal,No F3,2021-03-21,Vqnadium
tsurutsuru,19m 53s 970ms,19m 35s 050ms,1.16,1.16.1,Easy,F3,2021-04-10,tsuru
bpigebpige,20m 47s 320ms,19m 45s 550ms,1.16,1.16.1,Easy,F3,2021-04-21,bpige
TheticFobTheticFob,19m 57s 850ms,19m 50s 660ms,1.16,1.16.1,Easy,F3,2021-05-12,TheticFob
andemuandemu,19m 59s 970ms,19m 52s 733ms,1.16,1.16.1,Normal,F3,2021-03-01,andemu
TeddisonTeddison,19m 57s 067ms,19m 53s 030ms,1.16,1.16.1,Easy,F3,2021-06-16,Teddison
postit2000postit2000,20m 01s 480ms,19m 57s 400ms,1.0,1.16.1,Easy,F3,2021-04-23,postit2000
CodedShadowCodedShadow,20m 03s,19m 58s 200ms,1.16,1.16.1,Normal,F3,2021-02-20,CodedShadow
TheSwampleTheSwample,20m 29s,20m 03s,1.16,1.16.1,Easy,F3,2021-05-09,TheSwample
Robert1Robert1,19m 58s 150ms,20m 04s 267ms,1.16,1.16.1,Easy,F3,2021-03-05,Robert1
Aja68Aja68,20m 10s 035ms,20m 07s 073ms,1.16,1.16.1,Easy,F3,2021-06-05,Aja68
DFP_n1k0_DFP_n1k0_,20m 20s,20m 09s 080ms,1.16,1.16.1,Easy,F3,2021-05-17,DFP_n1k0_
FrankkuFrankku,21m 27s 030ms,20m 16s 085ms,1.16,1.16.1,Easy,F3,2021-03-14,Frankku
MWP2000MWP2000,20m 27s 086ms,20m 23s 015ms,1.16,1.16.1,Easy,F3,2021-03-31,MWP2000
HaooyHaooy,20m 27s 820ms,20m 25s 300ms,1.0,1.16.1,Normal,F3,2021-02-23,Haooy
SolidPiggySolidPiggy,20m 35s 004ms,20m 27s 009ms,1.16,1.16.1,Normal,F3,2021-05-13,SolidPiggy
AleeeeexisYKAleeeeexisYK,20m 59s 038ms,20m 29s 034ms,1.16,1.16.1,Easy,F3,2021-06-14,AleeeeexisYK
czmnczmn,21m 49s 680ms,20m 48s 800ms,1.16,1.16.1,Easy,F3,2021-06-22,czmn
HishfishHishfish,21m 14s 286ms,21m 06s 050ms,1.16,1.16.1,Easy,F3,2021-02-27,Hishfish
